,nij,src,trg
0,0.03888888888888889,4,5
1,0.022222222222222216,4,6
2,0.016666666666666666,4,12
3,0.01666666666666665,4,13
4,0.030555555555555548,5,6
5,0.008333333333333326,5,7
6,0.008333333333333337,5,8
7,0.00833333333333333,5,9
8,0.008333333333333338,5,10
9,0.008333333333333333,5,11
10,0.025,5,12
11,0.01666666666666665,5,13
12,0.008333333333333326,6,7
13,0.008333333333333337,6,8
14,0.00833333333333333,6,9
15,0.008333333333333338,6,10
16,0.008333333333333333,6,11
17,0.008333333333333333,6,12
18,0.008333333333333337,7,8
19,0.00833333333333333,7,9
20,0.008333333333333338,7,10
21,0.008333333333333333,7,11
22,0.008333333333333333,7,12
23,0.00833333333333333,8,9
24,0.008333333333333338,8,10
25,0.008333333333333333,8,11
26,0.008333333333333333,8,12
27,0.008333333333333338,9,10
28,0.008333333333333333,9,11
29,0.008333333333333333,9,12
30,0.008333333333333333,10,11
31,0.008333333333333333,10,12
32,0.008333333333333333,11,12
33,0.01666666666666665,12,13
0,0.03888888888888889,5,4
1,0.022222222222222216,6,4
2,0.016666666666666666,12,4
3,0.01666666666666665,13,4
4,0.030555555555555548,6,5
5,0.008333333333333326,7,5
6,0.008333333333333337,8,5
7,0.00833333333333333,9,5
8,0.008333333333333338,10,5
9,0.008333333333333333,11,5
10,0.025,12,5
11,0.01666666666666665,13,5
12,0.008333333333333326,7,6
13,0.008333333333333337,8,6
14,0.00833333333333333,9,6
15,0.008333333333333338,10,6
16,0.008333333333333333,11,6
17,0.008333333333333333,12,6
18,0.008333333333333337,8,7
19,0.00833333333333333,9,7
20,0.008333333333333338,10,7
21,0.008333333333333333,11,7
22,0.008333333333333333,12,7
23,0.00833333333333333,9,8
24,0.008333333333333338,10,8
25,0.008333333333333333,11,8
26,0.008333333333333333,12,8
27,0.008333333333333338,10,9
28,0.008333333333333333,11,9
29,0.008333333333333333,12,9
30,0.008333333333333333,11,10
31,0.008333333333333333,12,10
32,0.008333333333333333,12,11
33,0.01666666666666665,13,12
